substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
CETIRIZINE HYDROCHLORIDE,cetirizine hydrochloride,Cetirizine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN OTC DRUG,TABLET,ORAL,ANDA,5,mg
CHLORDIAZEPOXIDE,chlordiazepoxide and amitriptyline hydrochloride,Chlordiazepoxide and Amitriptyline Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,5,mg
CYCLOBENZAPRINE HYDROCHLORIDE,cyclobenzaprine hydrochloride,Cyclobenzaprine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
EPROSARTAN MESYLATE,eprosartan mesylate,Eprosartan Mesylate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,600,mg
FENOFIBRATE,fenofibrate,Fenofibrate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,48,mg
FENOPROFEN CALCIUM,Fenoprofen Calcium,Fenoprofen Calcium,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,600,mg
FLUPHENAZINE HYDROCHLORIDE,Fluphenazine hydrochloride,Fluphenazine hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1,mg
FROVATRIPTAN SUCCINATE,frovatriptan,Frovatriptan,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
GALANTAMINE HYDROBROMIDE,galantamine,Galantamine,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,4,mg
MAPROTILINE HYDROCHLORIDE,maprotiline hydrochloride,Maprotiline Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,25,mg
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,paroxetine hydrochloride hemihydrate,Paroxetine,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
PROBENECID,probenecid,Probenecid,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,500,mg
RISPERIDONE,risperidone,Risperidone,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.25,mg
THIORIDAZINE HYDROCHLORIDE,thioridazine hydrochloride,Thioridazine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
TOLMETIN SODIUM,tolmetin sodium,Tolmetin Sodium,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,600,mg
TRIFLUOPERAZINE HYDROCHLORIDE,trifluoperazine hydrochloride,Trifluoperazine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1,mg
ZIDOVUDINE,zidovudine,Zidovudine,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,300,mg
ZOLMITRIPTAN,zolmitriptan,Zolmitriptan,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
ALBUTEROL SULFATE,albuterol sulfate,Albuterol Sulfate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,4,mg
FELODIPINE,Felodipine,Felodipine,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
GLIPIZIDE,glipizide,Glipizide,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
GUANFACINE HYDROCHLORIDE,guanfacine,Guanfacine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1,mg
LITHIUM CARBONATE,lithium carbonate,Lithium Carbonate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,300,mg
METFORMIN HYDROCHLORIDE,metformin,Metformin Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1000,mg
METHYLPHENIDATE HYDROCHLORIDE,methylphenidate hydrochloride,Methylphenidate Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,18,mg
METOPROLOL SUCCINATE,metoprolol succinate,Metoprolol Succinate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,25,mg
NISOLDIPINE,nisoldipine,Nisoldipine,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,8.5,mg
OXYBUTYNIN CHLORIDE,oxybutynin chloride,Oxybutynin Chloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,5,mg
PALIPERIDONE,paliperidone,Paliperidone,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1.5,mg
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,paroxetine hydrochloride,Paroxetine Hydrochloride,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,12.5,mg
PENTOXIFYLLINE,Pentoxifylline,Pentoxifylline,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,400,mg
CARBIDOPA,carbidopa and levodopa,Carbidopa and Levodopa,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
PREDNISOLONE SODIUM PHOSPHATE,prednisolone,Prednisolone Sodium Phosphate,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
RISPERIDONE,risperidone,Risperidone,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.25,mg
IPRATROPIUM BROMIDE,Ipratropium Bromide,Ipratropium Bromide,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,SOLUTION,RESPIRATORY (INHALATION),ANDA,0.5,mg
BROMFENAC SODIUM,Bromfenac sodium,Bromfenac,Mylan Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,0.9,mg
SELEGILINE,selegiline,EMSAM,Mylan Specialty,HUMAN PRESCRIPTION DRUG,PATCH,TRANSDERMAL,NDA,6,mg
SELEGILINE HYDROCHLORIDE,selegiline hydrochloride,Eldepryl,Mylan Specialty L.P.,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,5,mg
FORMOTEROL FUMARATE,formoterol fumarate dihydrate,Perforomist,Mylan Specialty L.P.,HUMAN PRESCRIPTION DRUG,SOLUTION,RESPIRATORY (INHALATION),NDA,20,ug
HYALURONIC ACID,HYALURONIC ACID,MAXCLINIC HYALURONIC MESO CHANGE ROLLER,N&B LAB.Co.Ltd,HUMAN OTC DRUG,PATCH,TOPICAL,UNAPPROVED DRUG OTHER,67.9,mg
ADENOSINE,ADENOSINE,MAXCLINIC CIRMAGE LIFTING,N&B LAB.Co.Ltd,HUMAN OTC DRUG,STICK,TOPICAL,UNAPPROVED DRUG OTHER,0.009,g
MENTHOL,Topical Analgesic,Golden Sunshine Far Infrared Herbal,Nan Mei Pharmaceutical Co. Ltd.,HUMAN OTC DRUG,PASTE,TOPICAL,OTC MONOGRAPH NOT FINAL,0.03,g
DIMETHICONE,Dimethicone,3CE LIP LACQUER SUPER CORAL,Nanda Co. Ltd,HUMAN OTC DRUG,LIPSTICK,TOPICAL,OTC MONOGRAPH FINAL,0.76,g
LANOLIN,Lanolin,3CE DRAWING LIP CHILLING,Nanda Co. Ltd,HUMAN OTC DRUG,LIPSTICK,TOPICAL,UNAPPROVED DRUG OTHER,0.02,g
TRIETHYLHEXANOIN,Triethylhexanoin,3CE LIP COLOR 906 BITE IT,Nanda Co. Ltd,HUMAN OTC DRUG,LIPSTICK,TOPICAL,UNAPPROVED DRUG OTHER,0.31,g
CYCLOMETHICONE 5,Cyclopentasiloxane,3CE CR EAMY WATER PROOF EYE LINER 01 CATS,Nanda Co. Ltd,HUMAN OTC DRUG,LIQUID,TOPICAL,UNAPPROVED DRUG OTHER,0.16,g
SODIUM MONOFLUOROPHOSPHATE,SODIUM MONOFLUOROPHOSPHATE,NBF Gingival,NanoCureTech,HUMAN OTC DRUG,GEL,DENTAL,UNAPPROVED DRUG OTHER,0.4,g
ALLANTOIN,Allantoin,NANOMIX NANO CLEAN,NANOPOLY CO. LTD.,HUMAN OTC DRUG,SOAP,TOPICAL,OTC MONOGRAPH FINAL,0.6,g
ETHYL ALCOHOL,ETHYL ALCOHOL,Health And Beyond Instant Hand Sanitizer Twin Pack,Nantong Health & Beyond Hygienic Products Inc.,HUMAN OTC DRUG,KIT,TOPICAL,OTC MONOGRAPH NOT FINAL,None,None
SODIUM CHLORIDE,SODIUM CHLORIDE,Cleansing Wipe / Tube,NANTONG STRIP MEDICAL SUPPLY CO.LTD.,HUMAN OTC DRUG,SWAB,TOPICAL,OTC MONOGRAPH FINAL,0.9,g
AVENA SATIVA POLLEN,Avena sativa 3X,APETYL,Nartex Laboratorios Homeopati cos S.A. de C.V.,HUMAN OTC DRUG,SYRUP,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
FERROSOFERRIC PHOSPHATE,Medicago Sativa L.,Revitalix,Nartex Laboratorios Homeopati cos S.A. de C.V.,HUMAN OTC DRUG,SYRUP,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
CINCHONA OFFICINALIS,China officinalis,Revitalix,Nartex Laboratorios Homeopaticos S.A. De C.V.,HUMAN OTC DRUG,SYRUP,ORAL,UNAPPROVED HOMEOPATHIC,8,[HP_X]
COFFEE BEAN,Coffea Cruda,CALM-ITO,Nartex Laboratorios Homeopaticos S.A. de C.V.,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
HAMAMELIS VIRGINIANA ROOT BARK,Hamamelis,Varix,Nartex Laboratorios Homeopaticos SA DE CV,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,1.486,g
KRAMERIA LAPPACEA ROOT,Ratanhia,Hemorrhoidex,Nartex Laboratorios Homeopaticos SA DE CV,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
CINCHONA PUBESCENS BARK,Cinchona pubescens,Appetyl,NARTEX LABORATORIOS HOMEOPATICOS SA DE CV,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
OATMEAL,Colloid Oatmeal,Gentle Eczema Balm,Naterra International INC.,HUMAN OTC DRUG,STICK,TOPICAL,OTC MONOGRAPH NOT FINAL,0.112,g
VITAMIN A,Vitamin A,Prenatal Plus,Nationwide Laboratories,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,UNAPPROVED DRUG OTHER,4000,[iU]
FOLIC ACID,FOLIC ACID,PreNatal 19,Nationwide Laboratories LLC,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,UNAPPROVED DRUG OTHER,1,mg
PHENAZOPYRIDINE HYDROCHLORIDE,Phenazopyridine Hydrochloride,Phenazopyridine Hydrochloride,Nationwide Laboratories LLC,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,UNAPPROVED DRUG OTHER,100,mg
GALIUM APARINE,Galium,Skin Dr,Native Remedies LLC,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
SILYBUM MARIANUM SEED,Carduus mar,HaliTonic,Native Remedies LLC,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
FERROSOFERRIC PHOSPHATE,Ferrum phos,Good Morning Mama,Native Remedies LLC,HUMAN OTC DRUG,GRANULE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
ADENOSINE CYCLIC PHOSPHATE,Adenosinum cyclophosphoricum,AllergyEase Rocky Mtns,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
AETHUSA CYNAPIUM,Aethusa cynapium,AllergyEase Dairy,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
ARALIA RACEMOSA ROOT,Aralia racemosa,AllergyEase Animal Hair and Dander,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
BERBERIS VULGARIS ROOT BARK,Berberis vulgaris,Gallbladder Dr.,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,10,[hp_X]
GARLIC,Allium sativum,AllerguEase Food and Chemical,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
OYSTER SHELL CALCIUM CARBONATE,Calc carb,CataractClear,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,10,[hp_X]
POTASSIUM ALUM,Alumen,AllergyEase Weather Changes,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,10,[hp_X]
WORMWOOD,Absinthium,AllergyEase Plains,Native Remedies LLC,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
ANGELICA SINENSIS ROOT,Angelica,Birth-Heal,Native Remedies LLC,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
COCOA,Cacao,SocialFear Relief,Native Remedies LLC,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
EQUISETUM ARVENSE TOP,Equisetum arv,Be-Dry,Native Remedies LLC,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
ACONITUM NAPELLUS,Aconitum napellus,SciatiGon-M,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
AGRIMONIA EUPATORIA,Agrimony,Conjunct-a-Clear Wash,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
ALUMINUM OXIDE,Alumina,SAD Soother,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
AMMONIUM CARBONATE,Ammonium carbonicum,Hive Away,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
ANTIMONY TRISULFIDE,Antimoium crud,Gout Gone,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
ARISAEMA TRIPHYLLUM ROOT,Arum triph,Scab-Ease Itch Relief,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
ATROPA BELLADONNA,Belladona,Kidney Stone Clear,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
CALCIUM FLUORIDE,Calc fluor,TripleComplex Slimmers Assist,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
CALCIUM SILICATE,Calc sil,Boil-Rx,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
FERROSOFERRIC PHOSPHATE,Ferrum phos,Triple Complex Calm Tonic,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
HORSE CHESTNUT,Aesculus,Anal Itch Assist,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_C]
HYOSCYAMUS NIGER,Hyoscyamus,Tic Tamer,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
MATRICARIA RECUTITA,Chamomilla,Headache Soothe,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_C]
ONION,Allium cepa,HayFever Fighter,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
POTASSIUM DICHROMATE,Kali muriaticum,Mucus-Clear,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
POTASSIUM PHOSPHATE,Kali phos,Triple Complex BronchoSoothe,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
PULSATILLA VULGARIS,Pulsatilla,StyeGone,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
SILVER NITRATE,Argentum nit,Sweat Less,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
TRIBASIC CALCIUM PHOSPHATE,Calc phos,Acid Free-Flux,Native Remedies LLC,HUMAN OTC DRUG,TINCTURE,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
MENTHOL,MENTHOL,Natoral Korean Ginseng,Natoral Limited,HUMAN OTC DRUG,MOUTHWASH,ORAL,OTC MONOGRAPH NOT FINAL,0.3,mg
BORIC ACID,Boric Acid,Gy-Na-Tren,Natren Inc.,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,UNAPPROVED HOMEOPATHIC,None,None
ARNICA MONTANA,Arnica Montana,HYPERT HP,Natural Creations Inc.,HUMAN OTC DRUG,LIPSTICK,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_X]
AILANTHUS ALTISSIMA FLOWERING TWIG,Ailanthus Altissima Flowering Twig,SNORING HP,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
ALTERNARIA ALTERNATA,Alternaria Alternata,ALLERGY ATLANTIC MOLD MIX,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
AMERICAN GINSENG,American Ginseng,CENTROCODE,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
ATROPA BELLADONNA ROOT,Atropa Belladonna Root 30X,EAR INFLAM HP,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_X]
CLEMATIS RECTA FLOWERING TOP,Clematis Recta Flowering Top,PSORIASIS HP,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
JUGLANS CINEREA BRANCH BARK,Juglan Cinerea Branch Bark,Cold Sore HP,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
MAGNESIUM CARBONATE,Magnesium Carbonate,CONSTIPATION,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
TOXICODENDRON DIVERSILOBUM LEAF,Toxicodendron Diversilobum Leaf,CONTACT ALLERGY ANTIGEN,Natural Creations Inc.,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_X]
AMMONIUM CATION,AMMONIUM CATION,Hoarse Cough,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
ASCLEPIAS TUBEROSA FLOWERING TOP,ASCLEPIAS TUBEROSA FLOWERING TOP,HEADACHE FLATULENCE,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BACILLUS ANTHRACIS IMMUNOSERUM RABBIT,BACILLUS ANTHRACIS IMMUNOSERUM RABBIT,SKIN ERUPTIONS 7,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BARIUM CATION,BARIUM CATION,Dyspepsia,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BENZENE,BENZENE,HEADACHE INSOMNIA,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BOVINE TUBERCULIN,BOVINE TUBERCULIN,BACILLINUM PULMO,Natural Health Supply,HUMAN PRESCRIPTION DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BUFO BUFO CUTANEOUS GLAND,BUFO BUFO CUTANEOUS GLAND,Rheumatic Pains,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
BURKHOLDERIA MALLEI,BURKHOLDERIA MALLEI,HIPPOZAENINUM,Natural Health Supply,HUMAN PRESCRIPTION DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CADMIUM,CADMIUM,Indigestion,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CALCIUM CATION,CALCIUM CATION,Flatulence,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CALCIUM SILICATE,CALCIUM SILICATE,HEAD COLD,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CAMELLIA SINENSIS FLOWER,CAMELLIA SINENSIS FLOWER,NHS Insomnia 4,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CHENOPODIUM AMBROSIOIDES,CHENOPODIUM AMBROSIOIDES,RINGING IN EARS,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CRATAEGUS LAEVIGATA FRUIT,CRATAEGUS LAEVIGATA FRUIT,CRATAEGUS OXYACANTHA,Natural Health Supply,HUMAN PRESCRIPTION DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CROTON OIL,CROTON OIL,Diarrhea,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
CUPRIC ARSENITE,CUPRIC ARSENITE,DIARRHEA VOMITING,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
DIPHTHERIAL RESPIRATORY PSEUDOMEMBRANE HUMAN,DIPHTHERINUM,DIPHTHERINUM,Natural Health Supply,HUMAN PRESCRIPTION DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
EQUUS CABALLUS SKIN,EQUUS CABALLUS SKIN,Warts,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
EUPHORBIA RESINIFERA RESIN,EUPHORBIA RESINIFERA RESIN,DRY COUGH SKIN ERUPTIONS,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
FERROUS IODIDE,FERROUS IODIDE,SKIN ERUPTIONS RUNNY NOSE,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
FORMALDEHYDE,FORMALDEHYDE,Nasal Catarrh,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
FORMIC ACID,FORMIC ACID,ARTHRITIS PAIN,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
FRANGULA CALIFORNICA BARK,FRANGULA CALIFORNICA BARK,HEADACHE,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
GIANT PUFFBALL,GIANT PUFFBALL,Eczema Headache,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
GONORRHEAL URETHRAL SECRETION HUMAN,GONORRHEAL URETHRAL SECRETION HUMAN,MEDORRHINUM,Natural Health Supply,HUMAN PRESCRIPTION DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
GRINDELIA HIRSUTULA FLOWERING TOP,GRINDELIA HIRSUTULA FLOWERING TOP,ITCHY SKIN RASH,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
GUAIACUM SANCTUM RESIN,GUAIACUM SANCTUM RESIN,RHEUMATISM,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
HELIANTHUS ANNUUS FLOWER,HELIANTHUS ANNUUS FLOWER,COLDS NAUSEA VOMITING,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
HIPPOMANE MANCINELLA FRUITING LEAFY TWIG,HIPPOMANE MANCINELLA FRUITING LEAFY TWIG,Headache,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
JATROPHA CURCAS SEED,JATROPHA CURCAS SEED,STOMACH CRAMPS,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
JUSTICIA ADHATODA LEAF,JUSTICIA ADHATODA LEAF,RUNNY NOSE COUGH,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
LACTUCA VIROSA LEAF,LACTUCA VIROSA LEAF,Tickling Cough,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
LATRODECTUS MACTANS VENOM,LATRODECTUS MACTANS VENOM,Stomach Cramps 1,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
LILIUM LANCIFOLIUM BULB,LILIUM LANCIFOLIUM BULB,Dysmenorrhea Diarrhea,Natural Health Supply,HUMAN OTC DRUG,PELLET,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
